iter	Passed	Remaining
777	1887	538
778	1889	535
779	1894	534
780	1897	531
781	1899	529
782	1900	526
783	1902	524
784	1907	522
785	1913	520
786	1914	518
787	1916	515
788	1918	513
789	1927	512
790	1929	509
791	1930	507
792	1932	504
793	1934	501
794	1938	499
795	1940	497
796	1942	494
797	1944	492
798	1945	489
799	1947	486
800	1949	484
801	1953	482
802	1955	479
803	1957	477
804	1959	474
805	1961	472
806	1963	469
807	1964	466
808	1969	464
809	1970	462
810	1972	459
811	1974	457
812	1976	454
813	1977	451
814	1978	449
815	1980	446
816	1982	444
817	1984	441
818	1985	438
819	1987	436
820	1989	433
821	1990	431
822	1992	428
823	1993	425
824	1998	423
825	1999	421
826	2001	418
827	2003	416
828	2004	413
829	2005	410
830	2007	408
831	2008	405
832	2011	403
833	2013	400
834	2015	398
835	2017	395
836	2018	393
837	2020	390
838	2021	387
839	2023	385
840	2024	382
841	2026	380
842	2028	377
843	2029	375
844	2031	372
845	2032	370
846	2034	367
847	2036	364
848	2037	362
849	2040	360
850	2042	357
851	2044	355
852	2046	352
853	2047	350
854	2048	347
855	2050	344
856	2052	342
857	2054	339
858	2055	337
859	2057	334
860	2058	332
861	2060	329
862	2062	327
863	2063	324
864	2066	322
865	2068	320
866	2070	317
867	2072	315
868	2074	312
869	2076	310
870	2077	307
871	2079	305
872	2081	302
873	2082	300
874	2084	297
875	2085	295
876	2088	292
877	2089	290
878	2091	287
879	2094	285
880	2095	283
881	2097	280
882	2099	278
883	2101	275
884	2103	273
885	2104	270
886	2105	268
887	2107	265
888	2110	263
889	2113	261
890	2114	258
891	2116	256
892	2117	253
893	2118	251
894	2120	248
895	2121	246
896	2125	244
897	2126	241
898	2128	239
899	2130	236
900	2131	234
901	2133	231
902	2134	229
903	2135	226
904	2139	224
905	2140	222
906	2142	219
907	2143	217
908	2145	214
909	2146	212
910	2148	209
911	2149	207
912	2151	204
913	2154	202
914	2156	200
915	2157	197
916	2159	195
917	2161	193
918	2162	190
919	2164	188
920	2165	185
921	2168	183
922	2170	181
923	2171	178
924	2172	176
925	2174	173
926	2175	171
927	2177	168
928	2178	166
929	2180	164
930	2181	161
931	2185	159
932	2187	157
933	2188	154
934	2189	152
935	2191	149
936	2192	147
937	2194	145
938	2195	142
939	2200	140
940	2203	138
941	2205	135
942	2206	133
943	2208	131
944	2210	128
945	2215	126
946	2217	124
947	2219	121
948	2221	119
949	2222	116
950	2224	114
951	2226	112
952	2230	109
953	2231	107
954	2233	105
955	2235	102
956	2237	100
957	2238	98
958	2239	95
959	2241	93
960	2245	91
961	2247	88
962	2248	86
963	2250	84
964	2251	81
965	2253	79
966	2254	76
967	2258	74
968	2261	72
969	2264	70
970	2266	67
971	2267	65
972	2269	62
973	2271	60
974	2273	58
975	2275	55
976	2277	53
977	2278	51
978	2280	48
979	2282	46
980	2284	44
981	2289	41
982	2290	39
983	2292	37
984	2294	34
985	2296	32
986	2298	30
987	2299	27
988	2304	25
989	2306	23
990	2307	20
991	2311	18
992	2313	16
993	2314	13
994	2318	11
995	2320	9
996	2322	6
997	2323	4
998	2325	2
999	2327	0
